pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,7b1e7498-da35-4b48-8d64-eac493401d45,,done,1024,1024,524,0.0,420,264.754,,False
2,alice-2,bob-2,http://localhost:8013,3311704b-67ff-4a53-8e39-5111094707db,,done,1024,1024,528,0.0,423,265.46,,False
3,alice-3,bob-3,http://localhost:8023,3975386d-4304-4dba-8657-316dc445a696,,done,1024,1024,499,0.0,400,265.556,,False
4,alice-4,bob-4,http://localhost:8033,3a491565-de4a-4cf4-8429-2ddeaba3acd3,,done,1024,1024,500,0.0,400,263.888,,False
5,alice-5,bob-5,http://localhost:8043,cfdec8f0-5e50-4852-b327-a79534c3e2fc,,done,1024,1024,486,0.0,389,265.122,,False
6,alice-6,bob-6,http://localhost:8053,17b1dbe3-d85e-463a-868b-25b884d9b399,,done,1024,1024,503,0.0,403,262.531,,False
7,alice-7,bob-7,http://localhost:8063,0087a3f4-aab8-41cd-86f4-a7a7ead94e1c,,done,1024,1024,523,0.0,419,266.295,,False
8,alice-8,bob-8,http://localhost:8073,5d4aa628-6d7e-48bf-8ab1-da3226b44637,,done,1024,1024,501,0.01,401,266.775,,False
9,alice-9,bob-9,http://localhost:9003,449bd94b-73a9-40f4-a241-7c472ca689a9,,done,1024,1024,539,0.009346,432,267.031,,False
10,alice-10,bob-10,http://localhost:9013,82c77308-b7aa-4785-be18-6c4bd6dbd9f5,,done,1024,1024,489,0.041237,392,266.502,,False
11,alice-11,bob-11,http://localhost:9023,bb866ab9-d72b-4ecf-8fd2-bd48ce623025,,done,1024,1024,508,0.0,407,263.246,,False
12,alice-12,bob-12,http://localhost:9033,b8e3ce85-ba4a-4918-939f-26c3386b895b,,done,1024,1024,499,0.0,400,265.183,,False
13,alice-13,bob-13,http://localhost:9043,08af017a-4cf9-498c-b7b6-cb7e2044e464,,done,1024,1024,516,0.009709,413,263.933,,False
14,alice-14,bob-14,http://localhost:9053,6e727bb3-e340-4ead-9050-0fc3ec7f54ea,,done,1024,1024,502,0.0,402,265.098,,False
15,alice-15,bob-15,http://localhost:9063,784b2fd3-757b-4062-986c-7e78054d3434,,done,1024,1024,517,0.0,414,264.752,,False
16,alice-16,bob-16,http://localhost:9073,3dfb6fd4-fc91-42c6-b8a5-8510074c5265,,done,1024,1024,507,0.0,406,263.171,,False
17,alice-17,bob-17,http://localhost:9083,bc0e409c-c57b-4368-bfc5-819bbfda55c8,,done,1024,1024,501,0.0,401,265.896,,False
18,alice-18,bob-18,http://localhost:9093,6cd26f6a-09cb-4d47-b92f-29bc1d17c223,,done,1024,1024,456,0.0,365,265.109,,False
19,alice-19,bob-19,http://localhost:9103,9228fe5c-ea7b-4d2a-bc32-85042de81f63,,done,1024,1024,547,0.0,438,263.878,,False
